,LEAID,avg_change,change_class
99,101640,0.07076075571245684,0
100,101660,0.01744186046511628,0
101,101680,-0.4264705882352941,-1
102,101690,0.06353997061276359,0
103,101710,0.03656908063687724,0
104,101720,0.062123893805309735,0
105,101730,0.028106283801540864,0
106,101740,-0.012345679012345678,0
107,101760,0.018641378813009302,0
108,101770,0.039229881726368515,0
109,101800,0.010551762008650063,0
110,101830,0.06178335849526252,0
111,101860,0.04716285924834193,0
112,101890,0.05664488017429194,0
113,101920,0.01946530955316505,0
114,101950,0.005746543623026738,0
115,101980,-0.023067922215412047,0
116,102010,0.05064081823410986,0
117,102040,0.027318932655654382,0
118,102070,0.02098264185679532,0
119,102100,0.10148478107892808,0
120,102130,0.0,0
121,102160,-0.0033322754681053626,0
122,102190,0.018994133638574905,0
123,102220,0.015316897205379938,0
124,102250,0.016321839080459772,0
125,102310,0.05310301546131599,0
126,102350,0.0,0
127,102370,0.01760018312958415,0
128,102400,-0.006053411761926697,0
129,102430,-0.02483721661786679,0
130,102480,0.008107304466573505,0
131,102490,0.027240170679670835,0
132,102520,0.005608956893858482,0
133,102550,0.5142857142857142,1
134,102580,0.030936433716668772,0
135,102610,-0.038833975540291506,0
136,102635,0.0027022158169699153,0
137,102640,0.04731783455187711,0
138,102650,0.05282428973100004,0
139,102670,-0.1327899473594838,0
140,102700,0.0647595667541796,0
141,102730,-0.007463057863575302,0
142,102760,-0.04554079696394687,0
143,102790,0.0,0
144,102820,-0.03466866774416994,0
145,102850,0.021122333514940698,0
146,102880,0.012862297753462926,0
147,102910,0.06587412587412587,0
148,102940,-0.027993931385503844,0
149,102970,-0.011099365750528542,0
150,103000,0.06648612582911417,0
151,103030,0.030486889434586883,0
152,103062,0.010003352832702473,0
153,103090,-0.05037927579791041,0
154,103120,0.030669485553206484,0
155,103150,0.056124760665896896,0
156,103180,0.021104014219191752,0
157,103210,0.004794070224323351,0
158,103240,0.015542732800994736,0
159,103270,0.02247191011235955,0
160,103300,0.0,0
161,103330,0.05522405522405523,0
162,103360,-0.006536135771931373,0
163,103390,0.019133914541678797,0
164,103420,0.5375,1
165,103430,0.00912150772677346,0
166,103450,0.016477979093564025,0
167,103480,-0.05038913072154069,0
168,103510,-0.5979381443298969,-1
169,103540,0.07935008501794823,0
170,103580,0.047140800255968146,0
171,103581,,0
172,103582,,0
173,200001,-0.032365526950364494,0
174,200003,-0.010999162296455253,0
175,200004,0.0,0
176,200005,0.0,0
177,200006,-0.09634888438133875,0
178,200010,,0
179,200020,0.029145313676438446,0
180,200030,,0
181,200050,0.5,1
182,200060,-0.47058823529411764,-1
183,200070,0.050826946349334406,0
184,200090,-0.016935483870967744,0
185,200100,0.02821316614420063,0
186,200120,0.0,0
187,200150,0.019261962692619625,0
188,200180,0.013064783142765591,0
189,200210,0.02364217534503007,0
190,200240,0.12101619874204997,0
191,200300,,0
192,200330,0.15476190476190477,0
193,200360,-0.4736842105263158,-1
194,200390,0.019785692054599617,0
195,200450,,0
196,200480,0.041696474195196724,0
197,200485,-0.45098039215686275,-1
198,200510,0.028775079258704074,0
199,200520,,0
200,200525,0.014827462257368801,0
201,200540,,0
202,200570,,0
203,200600,0.03891577036156349,0
204,200610,-0.0524904214559387,0
205,200625,-0.01351029922458494,0
206,200630,,0
207,200660,0.0,0
208,200670,,0
209,200680,-0.5,-1
210,200690,,0
211,200700,0.10727969348659003,0
212,200710,-0.02,0
213,200715,0.0,0
214,200720,0.0,0
215,200730,,0
216,200760,0.32,1
217,200770,,0
218,200775,-0.18218623481781376,0
219,200780,0.05993165688250241,0
220,200800,0.0,0
221,200810,,0
222,200840,0.0,0
223,200862,-0.0839064558629776,0
224,400001,-0.035038932146829814,0
225,400003,0.05061607623737346,0
226,400004,-0.6585365853658537,-1
227,400005,,0
228,400016,-0.049535603715170275,0
229,400018,0.0,0
230,400019,-0.028061613542778703,0
231,400020,,0
232,400020,,0
233,400021,0.05992430613961312,0
